sen_id,sentence,word_count,view,status,source_file
SEN0001,왼쪽,1,F,ok,NIA_SL_SEN0001_REAL02_F_morpheme.json
SEN0002,왼쪽,1,F,ok,NIA_SL_SEN0002_REAL02_F_morpheme.json
SEN0003,오른쪽,1,F,ok,NIA_SL_SEN0003_REAL02_F_morpheme.json
SEN0004,오른쪽,1,F,ok,NIA_SL_SEN0004_REAL02_F_morpheme.json
SEN0005,여기,1,F,ok,NIA_SL_SEN0005_REAL02_F_morpheme.json
SEN0006,여기,1,F,ok,NIA_SL_SEN0006_REAL02_F_morpheme.json
SEN0007,저기,1,F,ok,NIA_SL_SEN0007_REAL02_F_morpheme.json
SEN0008,저기,1,F,ok,NIA_SL_SEN0008_REAL02_F_morpheme.json
SEN0009,운전 천천히,2,F,ok,NIA_SL_SEN0009_REAL02_F_morpheme.json
SEN0010,운전 천천히,2,F,ok,NIA_SL_SEN0010_REAL02_F_morpheme.json
SEN0011,운전 빨리,2,F,ok,NIA_SL_SEN0011_REAL02_F_morpheme.json
SEN0012,가다 빨리,2,F,ok,NIA_SL_SEN0012_REAL02_F_morpheme.json
SEN0013,시간 급하다,2,F,ok,NIA_SL_SEN0013_REAL02_F_morpheme.json
SEN0014,시간 급하다,2,F,ok,NIA_SL_SEN0014_REAL02_F_morpheme.json
SEN0015,급하다,1,F,ok,NIA_SL_SEN0015_REAL02_F_morpheme.json
SEN0016,급하다,1,F,ok,NIA_SL_SEN0016_REAL02_F_morpheme.json
SEN0017,약속 늦다,2,F,ok,NIA_SL_SEN0017_REAL02_F_morpheme.json
SEN0018,약속 늦다,2,F,ok,NIA_SL_SEN0018_REAL02_F_morpheme.json
SEN0019,나,1,F,ok,NIA_SL_SEN0019_REAL02_F_morpheme.json
SEN0020,나,1,F,ok,NIA_SL_SEN0020_REAL02_F_morpheme.json
SEN0021,당신,1,F,ok,NIA_SL_SEN0021_REAL02_F_morpheme.json
SEN0022,당신,1,F,ok,NIA_SL_SEN0022_REAL02_F_morpheme.json
SEN0023,그남자 맞다,2,F,ok,NIA_SL_SEN0023_REAL02_F_morpheme.json
SEN0024,그남자 맞다,2,F,ok,NIA_SL_SEN0024_REAL02_F_morpheme.json
SEN0025,말하다 잘못,2,F,ok,NIA_SL_SEN0025_REAL02_F_morpheme.json
SEN0026,말해주다 잘못,2,F,ok,NIA_SL_SEN0026_REAL02_F_morpheme.json
SEN0027,위험,1,F,ok,NIA_SL_SEN0027_REAL02_F_morpheme.json
SEN0028,위험,1,F,ok,NIA_SL_SEN0028_REAL02_F_morpheme.json
SEN0029,항상,1,F,ok,NIA_SL_SEN0029_REAL02_F_morpheme.json
SEN0030,항상,1,F,ok,NIA_SL_SEN0030_REAL02_F_morpheme.json
SEN0031,원래,1,F,ok,NIA_SL_SEN0031_REAL02_F_morpheme.json
SEN0032,원래,1,F,ok,NIA_SL_SEN0032_REAL02_F_morpheme.json
SEN0033,오천원,1,F,ok,NIA_SL_SEN0033_REAL02_F_morpheme.json
SEN0034,오천원,1,F,ok,NIA_SL_SEN0034_REAL02_F_morpheme.json
SEN0035,만원,1,F,ok,NIA_SL_SEN0035_REAL02_F_morpheme.json
SEN0036,만원,1,F,ok,NIA_SL_SEN0036_REAL02_F_morpheme.json
SEN0037,택시 기본 오천원,3,F,ok,NIA_SL_SEN0037_REAL02_F_morpheme.json
SEN0038,택시 기본 돈 얼마,4,F,ok,NIA_SL_SEN0038_REAL02_F_morpheme.json
SEN0039,택시 기본 만원,3,F,ok,NIA_SL_SEN0039_REAL02_F_morpheme.json
SEN0040,택시 기본 만원,3,F,ok,NIA_SL_SEN0040_REAL02_F_morpheme.json
SEN0041,돈 얼마 맞다 확인,4,F,ok,NIA_SL_SEN0041_REAL02_F_morpheme.json
SEN0042,돈 얼마 맞다 확인,4,F,ok,NIA_SL_SEN0042_REAL02_F_morpheme.json
SEN0043,밤 12시 후 돈 추가,5,F,ok,NIA_SL_SEN0043_REAL02_F_morpheme.json
SEN0044,밤 12시 후 돈 추가,5,F,ok,NIA_SL_SEN0044_REAL02_F_morpheme.json
SEN0045,고속 돈주다,2,F,ok,NIA_SL_SEN0045_REAL02_F_morpheme.json
SEN0046,고속 돈주다,2,F,ok,NIA_SL_SEN0046_REAL02_F_morpheme.json
SEN0047,택시 돈 되다,3,F,ok,NIA_SL_SEN0047_REAL02_F_morpheme.json
SEN0048,택시 돈 되다,3,F,ok,NIA_SL_SEN0048_REAL02_F_morpheme.json
SEN0049,장애인복지카드,1,F,ok,NIA_SL_SEN0049_REAL02_F_morpheme.json
SEN0050,장애인복지카드,1,F,ok,NIA_SL_SEN0050_REAL02_F_morpheme.json
SEN0051,어린이교통카드,1,F,ok,NIA_SL_SEN0051_REAL02_F_morpheme.json
SEN0052,어린이교통카드 되다,2,F,ok,NIA_SL_SEN0052_REAL02_F_morpheme.json
SEN0053,카드 1회,2,F,ok,NIA_SL_SEN0053_REAL02_F_morpheme.json
SEN0054,카드 1회 되다,3,F,ok,NIA_SL_SEN0054_REAL02_F_morpheme.json
SEN0055,지금 카드 충전,3,F,ok,NIA_SL_SEN0055_REAL02_F_morpheme.json
SEN0056,지금 카드 충전 가능,4,F,ok,NIA_SL_SEN0056_REAL02_F_morpheme.json
SEN0057,돈받다,1,F,ok,NIA_SL_SEN0057_REAL02_F_morpheme.json
SEN0058,돈받다 끝,2,F,ok,NIA_SL_SEN0058_REAL02_F_morpheme.json
SEN0059,표 사다,2,F,ok,NIA_SL_SEN0059_REAL02_F_morpheme.json
SEN0060,표 사다,2,F,ok,NIA_SL_SEN0060_REAL02_F_morpheme.json
SEN0061,돈 계산 잘못하다,3,F,ok,NIA_SL_SEN0061_REAL02_F_morpheme.json
SEN0062,돈 계산 틀리다,3,F,ok,NIA_SL_SEN0062_REAL02_F_morpheme.json
SEN0063,지하철 시간 일정하다 위아래,4,F,ok,NIA_SL_SEN0063_REAL02_F_morpheme.json
SEN0064,지하철 시간 딱,3,F,ok,NIA_SL_SEN0064_REAL02_F_morpheme.json
SEN0065,사람 계산 잘못하다,3,F,ok,NIA_SL_SEN0065_REAL02_F_morpheme.json
SEN0066,사람 계산 틀리다,3,F,ok,NIA_SL_SEN0066_REAL02_F_morpheme.json
SEN0067,다시,1,F,ok,NIA_SL_SEN0067_REAL02_F_morpheme.json
SEN0068,다시,1,F,ok,NIA_SL_SEN0068_REAL02_F_morpheme.json
SEN0069,1호,1,F,ok,NIA_SL_SEN0069_REAL02_F_morpheme.json
SEN0070,1호,1,F,ok,NIA_SL_SEN0070_REAL02_F_morpheme.json
SEN0071,2호,1,F,ok,NIA_SL_SEN0071_REAL02_F_morpheme.json
SEN0072,2호,1,F,ok,NIA_SL_SEN0072_REAL02_F_morpheme.json
SEN0073,9호,1,F,ok,NIA_SL_SEN0073_REAL02_F_morpheme.json
SEN0074,9호,1,F,ok,NIA_SL_SEN0074_REAL02_F_morpheme.json
SEN0075,여기 명동 지하철,3,F,ok,NIA_SL_SEN0075_REAL02_F_morpheme.json
SEN0076,여기 명동 지하철,3,F,ok,NIA_SL_SEN0076_REAL02_F_morpheme.json
SEN0077,여기 신촌 지하철,3,F,ok,NIA_SL_SEN0077_REAL02_F_morpheme.json
SEN0078,여기 신촌 지하철,3,F,ok,NIA_SL_SEN0078_REAL02_F_morpheme.json
SEN0079,여기 서울 지하철,3,F,ok,NIA_SL_SEN0079_REAL02_F_morpheme.json
SEN0080,여기 서울 지하철,3,F,ok,NIA_SL_SEN0080_REAL02_F_morpheme.json
SEN0081,여기 송파 지하철 맞다,4,F,ok,NIA_SL_SEN0081_REAL02_F_morpheme.json
SEN0082,여기 송파 지하철 맞다,4,F,ok,NIA_SL_SEN0082_REAL02_F_morpheme.json
SEN0083,여기 1호 되다,3,F,ok,NIA_SL_SEN0083_REAL02_F_morpheme.json
SEN0084,여기 1호 되다,3,F,ok,NIA_SL_SEN0084_REAL02_F_morpheme.json
SEN0085,여기 기차 되다,3,F,ok,NIA_SL_SEN0085_REAL02_F_morpheme.json
SEN0086,여기 기차 되다,3,F,ok,NIA_SL_SEN0086_REAL02_F_morpheme.json
SEN0087,택시 여기 되다,3,F,ok,NIA_SL_SEN0087_REAL02_F_morpheme.json
SEN0088,택시 여기 되다,3,F,ok,NIA_SL_SEN0088_REAL02_F_morpheme.json
SEN0089,도착 곳 명동 지하철,4,F,ok,NIA_SL_SEN0089_REAL02_F_morpheme.json
SEN0090,도착 곳 명동 지하철,4,F,ok,NIA_SL_SEN0090_REAL02_F_morpheme.json
SEN0091,하나 다음 도착,3,F,ok,NIA_SL_SEN0091_REAL02_F_morpheme.json
SEN0092,하나 다음 내리다,3,F,ok,NIA_SL_SEN0092_REAL02_F_morpheme.json
SEN0093,도착 곳 국립박물관,3,F,ok,NIA_SL_SEN0093_REAL02_F_morpheme.json
SEN0094,도착 곳 국립박물관,3,F,ok,NIA_SL_SEN0094_REAL02_F_morpheme.json
SEN0095,지하철 빨리 오다오다,3,F,ok,NIA_SL_SEN0095_REAL02_F_morpheme.json
SEN0096,지하철 빨리 오다오다,3,F,ok,NIA_SL_SEN0096_REAL02_F_morpheme.json
SEN0097,지하철오다 중,2,F,ok,NIA_SL_SEN0097_REAL02_F_morpheme.json
SEN0098,지하철오다 아직,2,F,ok,NIA_SL_SEN0098_REAL02_F_morpheme.json
SEN0099,4사람,1,F,ok,NIA_SL_SEN0099_REAL02_F_morpheme.json
SEN0100,4사람,1,F,ok,NIA_SL_SEN0100_REAL02_F_morpheme.json
SEN0101,지하철 곳 번호 1,4,F,ok,NIA_SL_SEN0101_REAL02_F_morpheme.json
SEN0102,지하철 곳 1 무엇,4,F,ok,NIA_SL_SEN0102_REAL02_F_morpheme.json
SEN0103,지하철 곳 12,3,F,ok,NIA_SL_SEN0103_REAL02_F_morpheme.json
SEN0104,지하철 곳 12 무엇,4,F,ok,NIA_SL_SEN0104_REAL02_F_morpheme.json
SEN0105,1호 맞다,2,F,ok,NIA_SL_SEN0105_REAL02_F_morpheme.json
SEN0106,1호 맞다,2,F,ok,NIA_SL_SEN0106_REAL02_F_morpheme.json
SEN0107,지하철 곳 명동 맞다,4,F,ok,NIA_SL_SEN0107_REAL02_F_morpheme.json
SEN0108,지하철 곳 명동 맞다,4,F,ok,NIA_SL_SEN0108_REAL02_F_morpheme.json
SEN0109,가능,1,F,ok,NIA_SL_SEN0109_REAL02_F_morpheme.json
SEN0110,가능,1,F,ok,NIA_SL_SEN0110_REAL02_F_morpheme.json
SEN0111,안되다,1,F,ok,NIA_SL_SEN0111_REAL02_F_morpheme.json
SEN0112,안되다,1,F,ok,NIA_SL_SEN0112_REAL02_F_morpheme.json
SEN0113,타다,1,F,ok,NIA_SL_SEN0113_REAL02_F_morpheme.json
SEN0114,타다,1,F,ok,NIA_SL_SEN0114_REAL02_F_morpheme.json
SEN0115,1호 곳,2,F,ok,NIA_SL_SEN0115_REAL02_F_morpheme.json
SEN0116,1호 곳 무엇,3,F,ok,NIA_SL_SEN0116_REAL02_F_morpheme.json
SEN0117,신분당 곳,2,F,ok,NIA_SL_SEN0117_REAL02_F_morpheme.json
SEN0118,신분당 곳 무엇,3,F,ok,NIA_SL_SEN0118_REAL02_F_morpheme.json
SEN0119,내리다,1,F,ok,NIA_SL_SEN0119_REAL02_F_morpheme.json
SEN0120,내리다,1,F,ok,NIA_SL_SEN0120_REAL02_F_morpheme.json
SEN0121,1호 갈아타다 목적,3,F,ok,NIA_SL_SEN0121_REAL02_F_morpheme.json
SEN0122,1호 갈아타다 목적 곳곳,4,F,ok,NIA_SL_SEN0122_REAL02_F_morpheme.json
SEN0123,9호 갈아타다 목적,3,F,ok,NIA_SL_SEN0123_REAL02_F_morpheme.json
SEN0124,9호 갈아타다 목적 곳곳,4,F,ok,NIA_SL_SEN0124_REAL02_F_morpheme.json
